2013-04-24 17:01:59 startup archives install
2013-04-24 17:01:59 install base-files:amd64 <none> 6.12ubuntu2
2013-04-24 17:01:59 status half-installed base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 install base-passwd:amd64 <none> 3.5.26
2013-04-24 17:01:59 status half-installed base-passwd:amd64 3.5.26
2013-04-24 17:01:59 status unpacked base-passwd:amd64 3.5.26
2013-04-24 17:01:59 status unpacked base-passwd:amd64 3.5.26
2013-04-24 17:01:59 configure base-passwd:amd64 3.5.26 3.5.26
2013-04-24 17:01:59 status unpacked base-passwd:amd64 3.5.26
2013-04-24 17:01:59 status half-configured base-passwd:amd64 3.5.26
2013-04-24 17:01:59 status installed base-passwd:amd64 3.5.26
2013-04-24 17:01:59 configure base-files:amd64 6.12ubuntu2 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status half-configured base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status installed base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 startup archives install
2013-04-24 17:01:59 upgrade dpkg 1.16.10ubuntu1 1.16.10ubuntu1
2013-04-24 17:01:59 status half-configured dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 status unpacked dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 status half-installed dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 status half-installed dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 status unpacked dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 status unpacked dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 configure dpkg 1.16.10ubuntu1 1.16.10ubuntu1
2013-04-24 17:01:59 status unpacked dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 status unpacked dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 status unpacked dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 status unpacked dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 status unpacked dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 status half-configured dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 status installed dpkg 1.16.10ubuntu1
2013-04-24 17:01:59 startup archives install
2013-04-24 17:01:59 install libc6:amd64 <none> 2.17-0ubuntu5
2013-04-24 17:01:59 status half-installed libc6:amd64 2.17-0ubuntu5
2013-04-24 17:01:59 status unpacked libc6:amd64 2.17-0ubuntu5
2013-04-24 17:01:59 status unpacked libc6:amd64 2.17-0ubuntu5
2013-04-24 17:01:59 configure libc6:amd64 2.17-0ubuntu5 2.17-0ubuntu5
2013-04-24 17:01:59 status unpacked libc6:amd64 2.17-0ubuntu5
2013-04-24 17:01:59 status unpacked libc6:amd64 2.17-0ubuntu5
2013-04-24 17:01:59 status half-configured libc6:amd64 2.17-0ubuntu5
2013-04-24 17:01:59 status installed libc6:amd64 2.17-0ubuntu5
2013-04-24 17:01:59 startup archives install
2013-04-24 17:01:59 install perl-base:amd64 <none> 5.14.2-21
2013-04-24 17:01:59 status half-installed perl-base:amd64 5.14.2-21
2013-04-24 17:01:59 status unpacked perl-base:amd64 5.14.2-21
2013-04-24 17:01:59 status unpacked perl-base:amd64 5.14.2-21
2013-04-24 17:01:59 configure perl-base:amd64 5.14.2-21 5.14.2-21
2013-04-24 17:01:59 status unpacked perl-base:amd64 5.14.2-21
2013-04-24 17:01:59 status half-configured perl-base:amd64 5.14.2-21
2013-04-24 17:01:59 status installed perl-base:amd64 5.14.2-21
2013-04-24 17:01:59 startup archives install
2013-04-24 17:01:59 install mawk:amd64 <none> 1.3.3-17ubuntu1
2013-04-24 17:01:59 status half-installed mawk:amd64 1.3.3-17ubuntu1
2013-04-24 17:01:59 status unpacked mawk:amd64 1.3.3-17ubuntu1
2013-04-24 17:01:59 status unpacked mawk:amd64 1.3.3-17ubuntu1
2013-04-24 17:01:59 configure mawk:amd64 1.3.3-17ubuntu1 1.3.3-17ubuntu1
2013-04-24 17:01:59 status unpacked mawk:amd64 1.3.3-17ubuntu1
2013-04-24 17:01:59 status half-configured mawk:amd64 1.3.3-17ubuntu1
2013-04-24 17:01:59 status installed mawk:amd64 1.3.3-17ubuntu1
2013-04-24 17:01:59 startup archives install
2013-04-24 17:01:59 install debconf:all <none> 1.5.49ubuntu1
2013-04-24 17:01:59 status half-installed debconf:all 1.5.49ubuntu1
2013-04-24 17:01:59 status unpacked debconf:all 1.5.49ubuntu1
2013-04-24 17:01:59 status unpacked debconf:all 1.5.49ubuntu1
2013-04-24 17:01:59 configure debconf:all 1.5.49ubuntu1 1.5.49ubuntu1
2013-04-24 17:01:59 status unpacked debconf:all 1.5.49ubuntu1
2013-04-24 17:01:59 status unpacked debconf:all 1.5.49ubuntu1
2013-04-24 17:01:59 status unpacked debconf:all 1.5.49ubuntu1
2013-04-24 17:01:59 status unpacked debconf:all 1.5.49ubuntu1
2013-04-24 17:01:59 status half-configured debconf:all 1.5.49ubuntu1
2013-04-24 17:01:59 status installed debconf:all 1.5.49ubuntu1
2013-04-24 17:01:59 startup archives unpack
2013-04-24 17:01:59 install adduser:all <none> 3.113+nmu3ubuntu1
2013-04-24 17:01:59 status half-installed adduser:all 3.113+nmu3ubuntu1
2013-04-24 17:01:59 status unpacked adduser:all 3.113+nmu3ubuntu1
2013-04-24 17:01:59 status unpacked adduser:all 3.113+nmu3ubuntu1
2013-04-24 17:01:59 upgrade base-files:amd64 6.12ubuntu2 6.12ubuntu2
2013-04-24 17:01:59 status half-configured base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status half-installed base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status half-installed base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 status unpacked base-files:amd64 6.12ubuntu2
2013-04-24 17:01:59 upgrade base-passwd:amd64 3.5.26 3.5.26
2013-04-24 17:01:59 status half-configured base-passwd:amd64 3.5.26
2013-04-24 17:01:59 status unpacked base-passwd:amd64 3.5.26
2013-04-24 17:01:59 status half-installed base-passwd:amd64 3.5.26
2013-04-24 17:01:59 status half-installed base-passwd:amd64 3.5.26
2013-04-24 17:01:59 status unpacked base-passwd:amd64 3.5.26
2013-04-24 17:01:59 status unpacked base-passwd:amd64 3.5.26
2013-04-24 17:01:59 install bash:amd64 <none> 4.2-5ubuntu3
2013-04-24 17:01:59 status half-installed bash:amd64 4.2-5ubuntu3
2013-04-24 17:01:59 status unpacked bash:amd64 4.2-5ubuntu3
2013-04-24 17:01:59 status unpacked bash:amd64 4.2-5ubuntu3
2013-04-24 17:01:59 install bsdutils:amd64 <none> 1:2.20.1-5.1ubuntu8
2013-04-24 17:01:59 status half-installed bsdutils:amd64 1:2.20.1-5.1ubuntu8
2013-04-24 17:01:59 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu8
2013-04-24 17:01:59 status unpacked bsdutils:amd64 1:2.20.1-5.1ubuntu8
2013-04-24 17:01:59 install busybox-initramfs:amd64 <none> 1:1.20.0-8ubuntu1
2013-04-24 17:01:59 status half-installed busybox-initramfs:amd64 1:1.20.0-8ubuntu1
2013-04-24 17:01:59 status unpacked busybox-initramfs:amd64 1:1.20.0-8ubuntu1
2013-04-24 17:01:59 status unpacked busybox-initramfs:amd64 1:1.20.0-8ubuntu1
2013-04-24 17:01:59 install coreutils:amd64 <none> 8.20-3ubuntu5
2013-04-24 17:01:59 status half-installed coreutils:amd64 8.20-3ubuntu5
2013-04-24 17:02:00 status unpacked coreutils:amd64 8.20-3ubuntu5
2013-04-24 17:02:00 status unpacked coreutils:amd64 8.20-3ubuntu5
2013-04-24 17:02:00 install cpio:amd64 <none> 2.11+dfsg-0.1ubuntu1
2013-04-24 17:02:00 status half-installed cpio:amd64 2.11+dfsg-0.1ubuntu1
2013-04-24 17:02:00 status unpacked cpio:amd64 2.11+dfsg-0.1ubuntu1
2013-04-24 17:02:00 status unpacked cpio:amd64 2.11+dfsg-0.1ubuntu1
2013-04-24 17:02:00 install dash:amd64 <none> 0.5.7-3ubuntu1
2013-04-24 17:02:00 status half-installed dash:amd64 0.5.7-3ubuntu1
2013-04-24 17:02:00 status unpacked dash:amd64 0.5.7-3ubuntu1
2013-04-24 17:02:00 status unpacked dash:amd64 0.5.7-3ubuntu1
2013-04-24 17:02:00 upgrade debconf:all 1.5.49ubuntu1 1.5.49ubuntu1
2013-04-24 17:02:00 status half-configured debconf:all 1.5.49ubuntu1
2013-04-24 17:02:00 status unpacked debconf:all 1.5.49ubuntu1
2013-04-24 17:02:00 status half-installed debconf:all 1.5.49ubuntu1
2013-04-24 17:02:00 status half-installed debconf:all 1.5.49ubuntu1
2013-04-24 17:02:00 status unpacked debconf:all 1.5.49ubuntu1
2013-04-24 17:02:00 status unpacked debconf:all 1.5.49ubuntu1
2013-04-24 17:02:00 install debianutils:amd64 <none> 4.3.4
2013-04-24 17:02:00 status half-installed debianutils:amd64 4.3.4
2013-04-24 17:02:00 status unpacked debianutils:amd64 4.3.4
2013-04-24 17:02:00 status unpacked debianutils:amd64 4.3.4
2013-04-24 17:02:00 install diffutils:amd64 <none> 1:3.2-8
2013-04-24 17:02:00 status half-installed diffutils:amd64 1:3.2-8
2013-04-24 17:02:00 status unpacked diffutils:amd64 1:3.2-8
